2017:Drama/218 Thriller/130 Comedy/104 Action/101 Horror/63
2016:Drama/614 Comedy/379 Thriller/347 Action/243 Romance/179
2015:Drama/711 Comedy/435 Thriller/364 Action/240 Romance/206
2014:Drama/698 Comedy/433 Thriller/360 Action/254 Romance/253
2013:Drama/669 Comedy/421 Thriller/347 Romance/223 Action/208
2012:Drama/648 Comedy/405 Thriller/309 Romance/219 Action/206
2011:Drama/693 Comedy/430 Thriller/287 Romance/244 Action/183
2010:Drama/612 Comedy/389 Thriller/292 Romance/226 Action/199
2009:Drama/634 Comedy/381 Thriller/279 Romance/226 Action/193
2008:Drama/648 Comedy/398 Thriller/257 Romance/247 Action/178
2007:Drama/626 Comedy/400 Thriller/259 Romance/249 Crime/154
2006:Drama/574 Comedy/392 Thriller/266 Romance/225 Action/162
2005:Drama/538 Comedy/336 Romance/227 Thriller/206 Action/140
2004:Drama/472 Comedy/333 Romance/242 Thriller/191 Action/151
2003:Drama/414 Comedy/307 Romance/201 Thriller/182 Action/129
2002:Drama/472 Comedy/298 Romance/221 Thriller/195 Action/146
2001:Drama/373 Comedy/271 Romance/182 Thriller/145 Crime/125
2000:Drama/371 Comedy/253 Romance/170 Thriller/141 Crime/111
1999:Drama/354 Comedy/258 Romance/177 Thriller/141 Crime/104
1998:Drama/328 Comedy/247 Romance/161 Thriller/128 Crime/118
1997:Drama/313 Comedy/213 Romance/140 Thriller/115 Action/106
1996:Drama/246 Comedy/194 Romance/113 Thriller/109 Action/85
1995:Drama/241 Comedy/156 Thriller/106 Romance/103 Action/95
1994:Drama/201 Comedy/186 Romance/102 Thriller/86 Action/75
1993:Drama/216 Comedy/155 Thriller/105 Romance/95 Action/86
1992:Drama/174 Comedy/141 Romance/79 Thriller/71 Action/67
1991:Drama/197 Comedy/149 Action/84 Romance/79 Thriller/77
1990:Drama/168 Comedy/149 Thriller/86 Action/76 Romance/76
1989:Drama/176 Comedy/139 Thriller/75 Action/74 Romance/68
1988:Drama/172 Comedy/144 Thriller/81 Horror/77 Romance/74
1987:Drama/148 Comedy/143 Thriller/82 Action/62 Romance/58
1986:Drama/142 Comedy/140 Action/68 Romance/62 Thriller/57
1985:Drama/139 Comedy/135 Action/69 Romance/65 Thriller/62
1984:Drama/124 Comedy/114 Romance/58 Action/57 Thriller/56
1983:Drama/121 Comedy/105 Romance/57 Horror/51 Thriller/47
1982:Drama/143 Comedy/98 Thriller/56 Horror/53 Action/44
1981:Drama/124 Comedy/100 Horror/60 Action/59 Thriller/50
1980:Drama/106 Comedy/97 Thriller/59 Horror/49 Action/47
1979:Drama/141 Comedy/80 Action/51 Thriller/48 Romance/47
1978:Drama/113 Comedy/67 Thriller/45 Horror/42 Action/39
1977:Drama/124 Comedy/70 Horror/48 Thriller/47 Action/36
1976:Drama/103 Comedy/76 Thriller/46 Action/40 Crime/32
1975:Drama/97 Comedy/68 Crime/49 Thriller/46 Action/40
1974:Drama/116 Comedy/59 Thriller/55 Crime/46 Action/45
1973:Drama/127 Thriller/62 Crime/62 Comedy/62 Action/54
1972:Drama/104 Comedy/62 Thriller/56 Horror/50 Crime/44
1971:Drama/116 Comedy/70 Horror/38 Thriller/38 Action/34
1970:Drama/132 Comedy/58 Romance/37 Thriller/33 Action/28
1969:Drama/93 Comedy/62 Romance/35 Adventure/30 Action/28
1968:Drama/111 Comedy/66 Romance/37 Thriller/33 Crime/31
1967:Drama/84 Comedy/69 Adventure/37 Romance/31 Thriller/29
1966:Drama/88 Comedy/68 Adventure/35 Crime/35 Action/33
1965:Drama/82 Comedy/61 Romance/30 Thriller/30 Adventure/29
1964:Drama/91 Comedy/58 Romance/35 Crime/28 Thriller/26
