click_times:11485521 gross:605859613
click_times:27886850 gross:1185694615
click_times:8981727 gross:230878614
click_times:12026187 gross:158216655
click_times:18054123 gross:1193237884
click_times:20388392 gross:275035278
click_times:12394775 gross:745173191
click_times:8433774 gross:431899145
click_times:13256313 gross:345147764
click_times:7631827 gross:329657935
click_times:30034165 gross:415348183
click_times:506233 gross:7556708
click_times:28976720 gross:634765284
click_times:25327241 gross:1055957159
click_times:6494054 gross:229718127
click_times:307478 gross:24042490
click_times:4560574 gross:130246659
click_times:5352416 gross:174801381
click_times:242368 gross:18593156
click_times:20147000 gross:281493524
click_times:76950 gross:1005700
click_times:22812774 gross:329482205
click_times:10558051 gross:782612155
click_times:153742 gross:10814185
click_times:9660665 gross:312242626
click_times:11657969 gross:203017998
click_times:10190386 gross:207989474
click_times:2681818 gross:70181428
click_times:27664895 gross:1153296293
click_times:3860134 gross:60312925
click_times:33221702 gross:656981341
click_times:1194358 gross:21383298
click_times:10634235 gross:160400289
click_times:84878 gross:4440055
click_times:43628 gross:1059239
click_times:11634628 gross:873260194
click_times:2924863 gross:107668464
click_times:12212 gross:200399
click_times:389908 gross:18438149
click_times:3952548 gross:201614916
click_times:3311743 gross:80383113
click_times:2629719 gross:172023948
click_times:131126 gross:2708188
click_times:10975196 gross:312750024
click_times:1290041 gross:36869414
click_times:1145265 gross:52488503
click_times:1062455 gross:36261763
click_times:4957939 gross:109090476
click_times:3697728 gross:83018523
click_times:1548366 gross:90904854
click_times:6761282 gross:403788617
click_times:1750439 gross:36447959
click_times:814487 gross:25187026
click_times:52075 gross:2610719
click_times:5559363 gross:106031284
click_times:4974975 gross:392000694
click_times:36095866 gross:570489358
click_times:1680114 gross:119772232
click_times:4335633 gross:145367357
click_times:34217248 gross:748121534
click_times:828542 gross:27984870
click_times:8928253 gross:148605443
click_times:35651873 gross:1084939099
click_times:2930045 gross:45505036
click_times:85437 gross:3094687
click_times:1966003 gross:96753696
click_times:1659589 gross:21569041
click_times:8061839 gross:122126687
click_times:195407 gross:6872403
click_times:76547 gross:3148482
click_times:13507895 gross:285540870
click_times:6196241 gross:80190063
click_times:16208069 gross:364142247
click_times:418302 gross:30920167
click_times:12893402 gross:947598026
click_times:14620972 gross:473990832
click_times:506063 gross:48982041
click_times:26052950 gross:788679850
click_times:2495775 gross:82329052
click_times:1814601 gross:22927390
click_times:20114949 gross:440603537
click_times:28481 gross:454149
click_times:8907849 gross:119566574
click_times:4639052 gross:70235322
click_times:7568081 gross:109845109
click_times:15732219 gross:228251471
click_times:4038120 gross:326284759
click_times:8552040 gross:817495020
click_times:1169950 gross:64098857
click_times:1679942 gross:63544526
click_times:9043 gross:903148
click_times:159384 gross:6670712
click_times:1351973 gross:114281051
click_times:1446153 gross:25138292
click_times:203992 gross:4563873
click_times:459256 gross:10179275
click_times:675565 gross:41860614
click_times:466876 gross:8855646
click_times:797442 gross:69491144
click_times:11769175 gross:540007876
click_times:1986714 gross:72835710
click_times:10309965 gross:219304189
click_times:145095 gross:11417362
click_times:5207782 gross:232617430
click_times:1750964 gross:31494270
click_times:5384202 gross:89999818
click_times:137423 gross:2962542
click_times:2585735 gross:176845402
click_times:538772 gross:47351251
click_times:7178902 gross:519445163
click_times:15841896 gross:352616690
click_times:5916425 gross:127233108
click_times:2433568 gross:76175166
click_times:9924632 gross:287506194
click_times:20584124 gross:1169244858
click_times:25197065 gross:1108561013
click_times:245299 gross:3982449
click_times:6761793 gross:286168572
click_times:716358 gross:31584722
click_times:2221329 gross:102391540
click_times:542782 gross:18004225
click_times:7532293 gross:294804195
click_times:10380647 gross:297276329
click_times:11093469 gross:351723989
click_times:2043541 gross:110387072
click_times:6397069 gross:467365246
click_times:15846158 gross:204200583
click_times:1911537 gross:31056945
click_times:201140 gross:14637490
click_times:3566671 gross:215528230
click_times:2309021 gross:211817906
click_times:25995034 gross:329398046
click_times:5631303 gross:406744226
click_times:705740 gross:30513940
click_times:8983209 gross:334367824
click_times:1765747 gross:28597222
click_times:5830969 gross:213116401
click_times:2661254 gross:38916903
click_times:16918049 gross:851458049
click_times:6193386 gross:259855274
click_times:3320855 gross:101758490
click_times:2878078 gross:113042075
click_times:136173 gross:11854694
click_times:2284104 gross:207039844
click_times:7392504 gross:164602163
click_times:4434394 gross:178413838
click_times:1621184 gross:27370107
click_times:5838542 gross:292791062
click_times:3183675 gross:70949793
click_times:4818294 gross:62429013
click_times:59206 gross:1186957
click_times:4574365 gross:202394678
click_times:3618529 gross:142851197
click_times:9213085 gross:287115105
click_times:1714905 gross:132820716
click_times:251745 gross:5757620
click_times:99043 gross:2014922
click_times:55378 gross:3325638
click_times:7446771 gross:708835589
click_times:2131670 gross:201585328
click_times:6523827 gross:201634991
click_times:3831033 gross:64361194
click_times:26954905 gross:714766572
click_times:132108 gross:3763973
click_times:474686 gross:42019483
click_times:2473748 gross:154026136
click_times:2289502 gross:140396650
